timestamp,signal_type,confidence,metadata
2026-01-22T09:15:00,BUY,0.7,"{'regime': 'TRENDING_UP', 'momentum': 'BULLISH'}"
2026-01-22T09:16:00,BUY,0.7,"{'regime': 'TRENDING_UP', 'momentum': 'BULLISH'}"
2026-01-22T09:17:00,BUY,0.7,"{'regime': 'TRENDING_UP', 'momentum': 'BULLISH'}"
2026-01-22T09:18:00,BUY,0.7,"{'regime': 'TRENDING_UP', 'momentum': 'BULLISH'}"
2026-01-22T09:19:00,BUY,0.7,"{'regime': 'TRENDING_UP', 'momentum': 'BULLISH'}"
2026-01-22T09:20:00,BUY,0.7,"{'regime': 'TRENDING_UP', 'momentum': 'BULLISH'}"
2026-01-22T09:21:00,BUY,0.7,"{'regime': 'TRENDING_UP', 'momentum': 'BULLISH'}"
2026-01-22T09:22:00,BUY,0.7,"{'regime': 'TRENDING_UP', 'momentum': 'BULLISH'}"
2026-01-22T09:23:00,BUY,0.7,"{'regime': 'TRENDING_UP', 'momentum': 'BULLISH'}"
2026-01-22T09:25:00,BUY,0.7,"{'regime': 'TRENDING_UP', 'momentum': 'BULLISH'}"
2026-01-22T09:26:00,BUY,0.7,"{'regime': 'TRENDING_UP', 'momentum': 'BULLISH'}"
2026-01-22T09:27:00,BUY,0.7,"{'regime': 'TRENDING_UP', 'momentum': 'BULLISH'}"
2026-01-22T09:28:00,BUY,0.7,"{'regime': 'TRENDING_UP', 'momentum': 'BULLISH'}"
2026-01-22T09:29:00,BUY,0.7,"{'regime': 'TRENDING_UP', 'momentum': 'BULLISH'}"
2026-01-22T09:30:00,BUY,0.7,"{'regime': 'TRENDING_UP', 'momentum': 'BULLISH'}"
2026-01-22T09:31:00,BUY,0.7,"{'regime': 'TRENDING_UP', 'momentum': 'BULLISH'}"
2026-01-22T09:32:00,BUY,0.7,"{'regime': 'TRENDING_UP', 'momentum': 'BULLISH'}"
2026-01-22T09:33:00,BUY,0.7,"{'regime': 'TRENDING_UP', 'momentum': 'BULLISH'}"
2026-01-22T09:35:00,BUY,0.7,"{'regime': 'TRENDING_UP', 'momentum': 'BULLISH'}"
